sequence_length,time
3,0.0159603007
4,0.0616264536
5,0.0584033697
6,0.0962039095
7,0.12831021
8,0.148409981
9,0.204738226
10,0.248084485
11,0.163043387
12,0.331690857
13,0.247331082
14,1.72089731
15,1.87976198
16,3.72755244
17,7.12164203
18,9.50775535
19,38.9290037
20,22.4313966
21,147.468684
22,118.958011
23,254.423638
24,830.930855
25,875.608911
26,825.003242
27,2292.84146
28,3972.41006
29,7784.25531
30,8824.82605
31,17124.6904
32,18639.9714
33,46927.8675
34,49239.1975
35,177148.204
36,244157.463
37,318224.939
38,386884.258
