sequence_length,time
3,0.020114446
4,0.0268031946
5,0.0354460824
6,0.0472502425
7,0.0775331137
8,0.0964111834
9,0.114552649
10,0.139209398
11,0.171550969
12,0.251184503
13,0.484932476
14,0.360993748
15,0.52733783
16,0.928180043
17,2.69863947
18,2.2647234
19,13.3389725
20,9.7136476
21,31.5600497
22,24.705709
23,35.8184629
24,132.45146
25,153.510958
26,156.728652
27,568.153204
28,878.176851
29,1677.74474
30,1632.99832
31,3824.14982
32,3699.39146
33,5068.31069
34,6196.18159
35,21195.3308
36,34123.4596
37,67493.2323
38,61160.7971
39,164395.871
40,276196.302
41,160343.979
